substrate,Enzyme,site_truth,truth,site_count
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,CYP1A2,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)[cH:1]c3)cc2)cc1,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)c(O)c3)cc2)cc1,1
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,CYP2C9,O=C(/C=C/c1ccc(O)cc1)c1ccc(NS(=O)(=O)c2ccc([CH3:1])cc2)cc1,O=C(/C=C/c1ccc(O)cc1)c1ccc(NS(=O)(=O)c2ccc(CO)cc2)cc1,1
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,CYP2D6,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)[cH:1]c3)cc2)cc1|O=C(/C=C/c1ccc(O)cc1)c1ccc(NS(=O)(=O)c2ccc([CH3:1])cc2)cc1,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)c(O)c3)cc2)cc1|O=C(/C=C/c1ccc(O)cc1)c1ccc(NS(=O)(=O)c2ccc(CO)cc2)cc1,2
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,CYP3A4,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)[cH:1]c3)cc2)cc1|O=C(/C=C/c1ccc(O)cc1)c1ccc(NS(=O)(=O)c2ccc([CH3:1])cc2)cc1,Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)c(O)c3)cc2)cc1|O=C(/C=C/c1ccc(O)cc1)c1ccc(NS(=O)(=O)c2ccc(CO)cc2)cc1,2
Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,CYP3A4,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CC[CH2:1]NC1=O,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CC[C@@H](O)NC1=O|Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CC[C@H](O)NC1=O,1
Clc1ccc(CCCOCCCN2CCCCC2)cc1,CYP2D6,Clc1ccc(CCCOCCC[N:1]2CCCCC2)cc1|Clc1ccc(CCCOCCC[N:1]2CCCC[CH2:1]2)cc1,O=C(O)CCCCNCCCOCCCc1ccc(Cl)cc1|[O-][N+]1(CCCOCCCc2ccc(Cl)cc2)CCCCC1,2
Clc1ccc(CCCOCCCN2CCCCC2)cc1,CYP3A4,Clc1ccc(CCCOCCC[N:1]2CCCCC2)cc1|Clc1ccc(CCCOCCC[N:1]2CCCC[CH2:1]2)cc1,O=C(O)CCCCNCCCOCCCc1ccc(Cl)cc1|[O-][N+]1(CCCOCCCc2ccc(Cl)cc2)CCCCC1,2
Clc1ccccc1CN1CCc2sccc2C1,CYP1A2,Clc1ccccc1CN1CC[c:1]2[s:1][cH:1][cH:1][c:1]2C1|Clc1ccccc1CN1CCc2sccc2[CH2:1]1|Clc1ccccc1C[N:1]1[CH2:1][CH2:1][c:1]2scc[c:1]2[CH2:1]1,Clc1ccccc1C[n+]1ccc2sccc2c1|O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1|OC1c2ccsc2CCN1Cc1ccccc1Cl,3
Clc1ccccc1CN1CCc2sccc2C1,CYP2C9,Clc1ccccc1CN1CC[c:1]2[s:1][cH:1][cH:1][c:1]2C1|Clc1ccccc1CN1CCc2sccc2[CH2:1]1|Clc1ccccc1C[N:1]1[CH2:1][CH2:1][c:1]2scc[c:1]2[CH2:1]1,Clc1ccccc1C[n+]1ccc2sccc2c1|O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1|OC1c2ccsc2CCN1Cc1ccccc1Cl,3
Clc1ccccc1CN1CCc2sccc2C1,CYP2D6,Clc1ccccc1CN1CC[c:1]2[s:1][cH:1][cH:1][c:1]2C1|Clc1ccccc1CN1CCc2c(cc[s:1]2)C1|Clc1ccccc1CN1CCc2sccc2[CH2:1]1|Clc1ccccc1C[N:1]1[CH2:1][CH2:1][c:1]2scc[c:1]2[CH2:1]1,Clc1ccccc1C[n+]1ccc2sccc2c1|O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1|OC1c2ccsc2CCN1Cc1ccccc1Cl|[O-][s+]1ccc2c1CCN(Cc1ccccc1Cl)C2,4
Clc1ccccc1CN1CCc2sccc2C1,CYP3A4,Clc1ccccc1CN1CC[c:1]2[s:1][cH:1][cH:1][c:1]2C1|Clc1ccccc1CN1CC[c:1]2[s:1][cH:1][cH:1][c:1]2[CH2:1]1|Clc1ccccc1CN1CCc2s[cH:1]cc2C1|Clc1ccccc1CN1CCc2sccc2[CH2:1]1|Clc1ccccc1C[N:1]1CCc2sccc2C1|Clc1ccccc1C[N:1]1[CH2:1][CH2:1][c:1]2scc[c:1]2[CH2:1]1,Clc1ccccc1CN1C=C2C=C[S+]=C2CC1|Clc1ccccc1C[n+]1ccc2sccc2c1|O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1|O=S1C=CC2=C1CCN(Cc1ccccc1Cl)C2|OC1c2ccsc2CCN1Cc1ccccc1Cl|Oc1cc2c(s1)CCN(Cc1ccccc1Cl)C2|[O-][N+]1(Cc2ccccc2Cl)CCc2sccc2C1|c1cc2c(s1)CCNC2,6
Cn1c(=O)c2c(ncn2C)n(C)c1=O,CYP1A2,Cn1c(=O)[c:1]2[c:1]([n:1][cH:1][n:1]2C)[n:1]([CH3:1])c1=O|Cn1c(=O)[n:1](C)c(=O)c2c1n[cH:1]n2C|Cn1c(=O)c2c(n[cH:1][n:1]2C)[n:1](C)c1=O|Cn1c(=O)c2c(n[cH:1][n:1]2C)n(C)c1=O|Cn1c(=O)c2c(n[cH:1]n2C)[n:1](C)c1=O|Cn1c(=O)c2c(n[cH:1]n2C)n(C)c1=O|Cn1c(=O)c2c(nc[n:1]2C)[n:1](C)c1=O|Cn1c(=O)c2c(nc[n:1]2C)n(C)c1=O|Cn1c(=O)c2c(ncn2C)[n:1](C)c1=O|Cn1c(=O)n(C)[c:1]2[n:1][cH:1][n:1]([CH3:1])[c:1]2c1=O|Cn1cn[c:1]2c1[c:1](=[O:1])[n:1]([CH3:1])[c:1](=O)n2[CH3:1]|Cn1cnc2c1c(=O)[n:1](C)c(=O)n2C,CC(=O)Nc1c(N)[nH]c(=O)n(C)c1=O|CC(=O)Nc1c(N)n(C)c(=O)n(C)c1=O|Cc1c(=O)[nH]c(O)c2c1ncn2C|Cn1c(=O)[nH]c(=O)c2c1[nH]c(=O)n2C|Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O|Cn1c(=O)[nH]c2[nH]c(=O)n(C)c2c1=O|Cn1c(=O)[nH]c2[nH]cnc2c1=O|Cn1c(=O)[nH]c2ncn(C)c2c1=O|Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O|Cn1c(=O)c2[nH]cnc2n(C)c1=O|Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O|Cn1cnc2c1c(=O)[nH]c(=O)n2C,12
Cn1c(=O)c2c(ncn2C)n(C)c1=O,CYP2C9,Cn1c(=O)c2c(n[cH:1]n2C)n(C)c1=O|Cn1c(=O)c2c(nc[n:1]2C)n(C)c1=O|Cn1c(=O)c2c(ncn2C)[n:1](C)c1=O,Cn1c(=O)[nH]c2ncn(C)c2c1=O|Cn1c(=O)c2[nH]cnc2n(C)c1=O|Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O,3
Cn1c(=O)c2c(ncn2C)n(C)c1=O,CYP2D6,Cn1c(=O)c2c(n[cH:1]n2C)n(C)c1=O|Cn1c(=O)c2c(ncn2C)[n:1](C)c1=O,Cn1c(=O)[nH]c2ncn(C)c2c1=O|Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O,2
Cn1c(=O)c2c(ncn2C)n(C)c1=O,CYP3A4,Cn1c(=O)c2c(n[cH:1]n2C)n(C)c1=O|Cn1c(=O)c2c(nc[n:1]2C)n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O|Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O,2
O=C(NOCCO)c1ccc2cncn2c1Nc1ccc(I)cc1F,CYP2C9,OCCO[NH:1][C:1](=[O:1])[c:1]1ccc2cncn2[c:1]1[NH:1]c1ccc(I)cc1F,Oc1nn(-c2ccc(I)cc2F)c2c1ccc1cncn12,1
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,CYP1A2,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[CH2:1]1,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,1
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,CYP3A4,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[CH2:1]1,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,1
O=P1(NCCCl)OCCCN1CCCl,CYP2C9,O=P1(NCCCl)OCC[CH2:1]N1CCCl|O=P1([NH:1]CCCl)OCCCN1CCCl,NP1(=O)OCCCN1CCCl|O=P1(NCCCl)OCCC(O)N1CCCl,2
O=P1(NCCCl)OCCCN1CCCl,CYP3A4,O=P1(NCCCl)OCCC[N:1]1CCCl|O=P1(NCCCl)OCC[CH2:1]N1CCCl|O=P1([NH:1]CCCl)OCCCN1CCCl,NP1(=O)OCCCN1CCCl|N[P@@]1(=O)OCCCN1CCCl|O=P1(NCCCl)NCCCO1|O=P1(NCCCl)OCCC(O)N1CCCl|O=[P@]1(NCCCl)NCCCO1,3
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,CYP3A4,O[CH2:1]COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,1
