SMILES,metabolite,predict
COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)CO,COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)[CH3:1]|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2c[cH:1]c(=O)[nH]c2=O)cc1C(C)(C)C|CC(C)(C)c1cc(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)c1[O:1]C|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH:1]c2=O)cc1C(C)(C)C|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-[n:1]2[cH:1][cH:1][c:1](=O)[nH:1][c:1]2=O)cc1C(C)(C)C|COc1c(-c2ccc3cc(NS(C)(=O)=[O:1])ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C|COc1c(-c2ccc3cc([NH:1]S(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C|COc1c(-c2cc3ccc(NS(C)(=O)=O)cc3c[cH:1]2)cc(-n2ccc(=O)[nH]c2=O)cc1C(C)(C)C|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2ccc(=O)[nH]c2=O)[cH:1]c1C(C)(C)C|COc1c(-c2ccc3cc(NS(C)(=O)=O)ccc3c2)cc(-n2cc[c:1](=[O:1])[nH]c2=O)cc1C(C)(C)C
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,COc1cc(Cc2c[n+]([O-])c(N)nc2N)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O|COc1cc(Cc2cnc(N)[n+]([O-])c2N)cc(OC)c1OC|COc1cc(C(O)c2cnc(N)nc2N)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)cc(O)c1OC,COc1cc(Cc2cnc(N)nc2N)cc([O:1]C)c1OC|COc1cc(Cc2cnc(N)[n:1]c2N)cc(OC)c1OC|COc1cc(Cc2cnc([NH2:1])nc2N)cc(OC)c1OC|COc1cc(Cc2c[n:1]c(N)nc2N)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)[cH:1]c(OC)c1OC|COc1cc([CH2:1]c2cnc(N)nc2N)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2[NH2:1])cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)cc(OC)c1[O:1]C|COc1cc(Cc2cnc(N)nc2N)cc(O[CH3:1])c1OC|COc1cc(Cc2cnc(N)n[c:1]2N)cc(OC)c1OC
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,COc1cc2c(cc1C(N)=O)c(Oc1ccc(NC(=O)NC3CC3)c(Cl)c1)cc[n+]2[O-]|NC(=O)c1cc2c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ccnc2cc1O,COc1cc2c(cc1C(N)=O)c(Oc1ccc(NC(=O)NC3CC3)c(Cl)c1)cc[n:1]2|C[O:1]c1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O|COc1cc2n[cH:1]cc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O|COc1cc2nccc(Oc3ccc(NC(=O)NC4C[CH2:1]4)c(Cl)c3)c2cc1C(N)=O|COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)[NH2:1]|COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1[C:1](N)=O|COc1c(C(N)=O)cc2c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ccnc2[cH:1]1|COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1[C:1]([NH2:1])=[O:1]|COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1[C:1](N)=[O:1]|O=C(NC1CC1)Nc1ccc(Oc2ccnc3cc([O:1][CH3:1])c(C(=O)[NH2:1])cc23)cc1Cl
COc1ccc(CC(C)NCC(O)c2ccc(O)c(NC=O)c2)cc1,COc1ccc(CC(C)NCC(O)c2ccc(OS(=O)(=O)O)c(NC=O)c2)cc1|CC(Cc1ccc(O)cc1)NCC(O)c1ccc(O)c(NC=O)c1|COc1ccc(CC(C)NCC(O)c2ccc(O)c(N)c2)cc1|COc1ccc(CC(C)NCC(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c2ccc(O)c(NC=O)c2)cc1|COc1ccc(CC(C)NCC(O)c2ccc(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(NC=O)c2)cc1,COc1ccc(CC(C)NCC(c2ccc(O)c(NC=O)c2)[OH:1])cc1|COc1ccc(CC(C)NCC(O)c2ccc([OH:1])c(NC=O)c2)cc1|CC(Cc1ccc([O:1]C)cc1)NCC(O)c1ccc(O)c(NC=O)c1|COc1ccc(CC(C)NCC(O)c2ccc(O)c([NH:1]C=O)c2)cc1|COc1ccc(CC(C)[NH:1]CC(O)c2ccc(O)c(NC=O)c2)cc1|COc1ccc(CC(C)NCC(O)c2cc(NC=O)c(O)[cH:1]c2)cc1|COc1ccc(CC(C)NC[CH:1](O)c2ccc(O)c(NC=O)c2)cc1|COc1ccc(CC(C)NC[CH:1](c2ccc(O)c(NC=O)c2)[OH:1])cc1|COc1ccc(CC(C)NCC(O)c2ccc(O)c(N[CH:1]=O)c2)cc1|COc1ccc(C[CH:1](C)NCC(c2ccc(O)c(NC=O)c2)[OH:1])cc1
COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1,NC(=O)C1Cc2c([nH]c3ccccc23)CN1S(=O)(=O)c1ccc(O)cc1|COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1O|COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3C=C2C(N)=O)cc1,COc1ccc(S(=O)(=O)N2Cc3[nH]c4cc[cH:1]cc4c3CC2C(N)=O)cc1|C[O:1]c1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1|COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2[C:1](N)=O)cc1|COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(=O)[NH2:1])cc1|COc1ccc(S(=O)(=O)N2Cc3[nH]c4c[cH:1]ccc4c3CC2C(N)=O)cc1|COc1ccc(S(=O)(=O)[N:1]2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1|COc1ccc(S(=O)(=O)N2C(C(N)=O)C[c:1]3[nH:1][c:1]4cccc[c:1]4[c:1]3[CH2:1]2)cc1|COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2[C:1](N)=[O:1])cc1|COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2[C:1](=O)[NH2:1])cc1|COc1ccc(S(=O)(=O)N2C(C(N)=O)Cc3c4ccccc4[nH]c3[CH2:1]2)cc1
COc1ccc2ccc(=O)oc2c1CC=C(C)C,COc1ccc2c(c1CC=C(C)C)OC(O)C(CC(=O)O)=C2|CC(C)=CCc1c(O)ccc2ccc(=O)oc12|COc1ccc2ccc(=O)oc2c1C/C=C(\C)CO|C=C(C)/C=C/c1c(OC)ccc2ccc(=O)oc12|COc1ccc2cc(O)c(=O)oc2c1CC=C(C)C,COc1ccc2c[cH:1]c(=O)oc2c1CC=C(C)C|CC(C)=CCc1c([O:1]C)ccc2ccc(=O)oc12|COc1c[cH:1]c2ccc(=O)oc2c1CC=C(C)C|COc1ccc2ccc(=O)oc2c1CC=C(C)[CH3:1]|COc1ccc2ccc(=O)oc2c1C[CH:1]=[C:1](C)C|COc1c(CC=C(C)C)c2oc(=O)ccc2c[cH:1]1|COc1ccc2ccc(=O)oc2c1[CH2:1]C=C(C)C|COc1cc[c:1]2[cH:1][cH:1][c:1](=O)[o:1][c:1]2c1CC=C(C)C|CC(C)=CC[c:1]1c([O:1]C)ccc2ccc(=O)oc21|COc1ccc2ccc(=O)oc2c1[CH2:1][CH:1]=[C:1](C)C
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)CO)cc2)nc(-c2ncccn2)nc1OCCO|CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2Oc2ccccc2O)cc1,CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCCO)c2Oc2ccccc2[O:1]C)cc1|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OC[CH2:1]O|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-[c:1]2[n:1][cH:1][cH:1][cH:1][n:1]2)nc1OCCO|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCC[OH:1]|COc1c[cH:1]ccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OC[CH2:1][OH:1]|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2nc[cH:1]cn2)nc1OCCO|COc1ccccc1Oc1c([NH:1]S(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO|CC(C)(C)c1ccc(S(=O)(=O)Nc2nc(-c3ncccn3)nc(OCC[OH:1])c2Oc2ccccc2[O:1]C)cc1|COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1[O:1]CCO
CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,NCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(O)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCN(O)Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,CS(=O)(=O)CC[NH:1]Cc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3n[cH:1]nc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCN[CH2:1]c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)C[CH2:1]NCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CC[NH:1][CH2:1]c1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(O[CH2:1]c5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc([O:1]Cc5cccc(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cc[cH:1]c(F)c5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cc(F)cc[cH:1]5)c(Cl)c4)c3c2)o1|CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3[cH:1]2)o1
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1O,C[C@@H](Oc1cc(-c2cnn(C3CC[NH:1]CC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl|C[C@@H](Oc1cc(-c2cnn(C3CCN[CH2:1]C3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl|C[C@@H](Oc1cc(-c2cn[n:1](C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl|C[C@@H](Oc1cc(-c2cnn(C3CCNC[CH2:1]3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl|C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)c[cH:1]c(F)c1Cl|C[C@@H](Oc1cc(-c2cnn(C3C[CH2:1]NC[CH2:1]3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl|C[C@@H](Oc1cc(-c2c[n:1]n(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl|C[C@H](c1c(Cl)ccc(F)c1Cl)[O:1]c1cc(-c2cnn(C3CCNCC3)c2)cnc1N|C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)[c:1]1Cl|Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1O[C@@H](c1c(Cl)ccc(F)c1Cl)[CH3:1]
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,C[C@H]1C2CC[C@H](C)[C@H]3CCC4(C)OO[C@]23[C@@H](O[C@H]1O)O4,C[C@@H]1CC[C@H]2[C@@H](C)[C@H]([O:1]C(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4|C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23[O:1][O:1]4|C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)C[CH2:1][C@@H]1[C@@]23OO4|C[C@@H]1CC[C@H]2[C@@H]([CH3:1])[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4|C[C@@H]1C[CH2:1][C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4|C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]23[O:1][O:1]4|C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)[OH:1])O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4|C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)[CH2:1]C[C@@H]1[C@@]23OO4|C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)C[CH2:1]C(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4|C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4([CH3:1])CC[C@@H]1[C@@]23OO4
C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)c1,CC(C)(C)N[C@H](CO)C(=O)c1cccc(Cl)c1|C[C@H](NC(C)(C)C)C(=O)c1ccc(O)c(Cl)c1|C[C@@H](NC(C)(C)CO)C(=O)c1cccc(Cl)c1|C[C@@H](NC(C)(C)C)C(=O)c1cc(O)cc(Cl)c1|CC(NC(C)(C)CO)C(=O)c1cccc(Cl)c1|C[C@@H]1NC(C)(C)CO[C@]1(O)c1cccc(Cl)c1,C[C@H](NC(C)(C)[CH3:1])C(=O)c1cccc(Cl)c1|C[C@H](NC(C)(C)C)[C:1](=O)c1cccc(Cl)c1|C[C@H](NC(C)(C)C)C(=O)c1cc(Cl)c[cH:1]c1|C[C@H](NC(C)(C)C)[C:1](c1cccc(Cl)c1)=[O:1]|C[C@@H](C(=O)c1cccc(Cl)c1)[NH:1]C(C)(C)C|C[C@H](NC(C)(C)C)C(=O)c1cc(Cl)cc[cH:1]1|C[C@H](NC(C)(C)C)C(=O)c1cc[cH:1]c(Cl)c1|C[C@H](NC(C)(C)C)C(=O)c1cccc(Cl)[cH:1]1|C[C@H]([NH:1]C(C)(C)C)[C:1](=O)c1cccc(Cl)c1|C[C@H](NC(C)(C)[CH3:1])[C:1](=O)c1cccc(Cl)c1
C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12,C[C@H]1C[N+]([O-])=CCCN1S(=O)(=O)c1cccc2cncc(F)c12|C[C@H]1CNC(=O)CCN1S(=O)(=O)c1cccc2cncc(F)c12,C[C@H]1C[NH:1]CCCN1S(=O)(=O)c1cccc2cncc(F)c12|C[C@H]1CNCCCN1S(=O)(=O)c1cccc2c1c(F)cn[cH:1]2|C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cn[cH:1]c(F)c12|C[C@H]1CNCCCN1S(=O)(=O)c1cccc2c[n:1]cc(F)c12|C[C@H]1CN[CH2:1]CCN1S(=O)(=O)c1cccc2cncc(F)c12|C[C@@H]1N(S(=O)(=O)c2cccc3cncc(F)c23)CCCN[CH2:1]1|C[C@H]1CNCCCN1S(=O)(=O)c1ccc[c:1]2[cH:1][n:1][cH:1][c:1](F)[c:1]12|C[C@H]1CNCCCN1S(=O)(=O)c1c[cH:1]cc2cncc(F)c12|C[C@H]1CNCCCN1S(=O)(=O)c1cc[cH:1]c2cncc(F)c12|C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cnc[c:1](F)c12
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,C[C@H]1COc2c(N3CCNCC3)c(F)cc3c(=O)c(C(=O)O)cn1c23|C[C@H]1COc2c(N3CC[N+](C)([O-])CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)[OH:1])cn1c23|C[C@H]1COc2c(N3CC[N:1](C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23|C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c([C:1](=O)O)cn1c23|C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c([C:1](=O)[OH:1])cn1c23|C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)[c:1](C(=O)O)cn1c23|C[C@H]1COc2c([N:1]3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23|C[C@H]1COc2c(N3CCN([CH3:1])CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23|C[C@H]1COc2c(N3CCN(C)[CH2:1]C3)c(F)cc3c(=O)c(C(=O)O)cn1c23|C[C@H]1COc2c(N3CCN(C)C[CH2:1]3)c(F)cc3c(=O)c(C(=O)O)cn1c23|C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)[cH:1]n1c23
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)C[O:1]P(=O)(O)O|C[C@H]1C[C@H]2[C@@H]3C[CH2:1]C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O|C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@]1(C(=O)COP(=O)(O)O)[OH:1]|C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@:1]1(O)C(=O)COP(=O)(O)O|C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)[OH:1]|C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@:1]1(C(=O)COP(=O)(O)O)[OH:1]|C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)[CH2:1]OP(=O)(O)O|C[C@H]1C[C@H]2[C@@H]3C[CH2:1][C:1]4=[CH:1]C(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O|C[C@H]1C[C@H]2[C@@H]3CC[C:1]4=[CH:1]C(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O|C[C@H]1C[C@H]2[C@@H]3CCC4=C[C:1](=[O:1])C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O
C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O,C[C@]1(O)CC[C@@H]2[C@H]3CCC4=C(Cl)C(=O)C=C[C@]4(C)[C@@H]3[C@@H](O)C[C@]21C,C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1C[CH2:1][C@]2(C)O|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)[OH:1]|C[C@]12C=CC(=O)C(Cl)=C1[CH2:1]C[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@:1]2(C)[OH:1]|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@:1]2(C)O|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1[CH2:1]C[C@]2(C)O|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2([CH3:1])[C@@H]1CC[C@]2(C)O|C[C@]12C=CC(=O)C(Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2([CH3:1])[OH:1]|C[C@]12C=CC(=O)C(Cl)=C1C[CH2:1][C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O|C[C@]12C=CC(=O)[C:1](Cl)=C1CC[C@H]1[C@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O
Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCS(=O)C4)C3)CC2)n(-c2ccccc2)n1|O=C([C@@H]1C[C@@H](N2CCN(c3cc(CO)nn3-c3ccccc3)CC2)CN1)N1CCSC1|Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)O)C3)CC2)n(-c2ccccc2)n1,Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CC[S:1]C4)C3)CC2)n(-c2ccccc2)n1|Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCS[CH2:1]4)C3)CC2)n(-c2ccccc2)n1|Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2cc[cH:1]cc2)n1|Cc1nn(-c2ccccc2)c(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)[cH:1]1|Cc1cc(N2CCN([C@H]3CN[C@H]([C:1](=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1|Cc1cc([N:1]2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1|Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccc[cH:1]c2)n1|Cc1cc(N2CCN([C@H]3CN[C@H](C(=O)[N:1]4CCSC4)C3)CC2)n(-c2ccccc2)n1|C[c:1]1cc(N2CCN([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1|Cc1cc(N2CC[N:1]([C@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,Cc1cc2c(s1)Nc1ccc(O)cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1|CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1|Cc1cc2c(s1)N(C1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1N=C2N1CCN(C)CC1,CN1CCN(C2=Nc3ccccc3Nc3sc([CH3:1])cc32)CC1|Cc1cc2c(s1)Nc1c[cH:1]ccc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N:1](C)CC1|Cc1cc2c(s1)Nc1cc[cH:1]cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)[CH2:1]C1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN([CH3:1])CC1|Cc1cc2c(s1)[NH:1]c1ccccc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1c[cH:1]ccc1N=C2N1CC[N:1](C)CC1|C[N:1]1CCN(C2=Nc3ccccc3Nc3sc([CH3:1])cc32)CC1|Cc1sc2c([cH:1]1)C(N1CCN(C)CC1)=Nc1ccccc1N
