substrate,all_predictions,metabolite
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,CCC1OC2=CC=CC=C2C1C(=O)C=3C(C(Br)=C(O)C(Br)C3)SCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O|CCC1OC2=CC=CC=C2C1C(O)C3=CC(Br)=C(O)C(Br)=C3|C(CC1OC2=CC=CC=C2C1C(=O)C3=CC(Br)=C(O)C(Br)=C3)O|CCC1OC2=CC(=CC=C2C1C(=O)C3=CC(Br)=C(O)C(Br)=C3)O|C=CC1OC2=CC=CC=C2C1C(=O)C3=CC(Br)=C(O)C(Br)=C3|CCC1OC2=CC=CC=C2C1C(=O)C3=CC(=C(O)C(Br)=C3)SCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O|CCC1OC2=CC=C(C=C2C1C(=O)C3=CC(Br)=C(O)C(Br)=C3)O|CC(C1OC2=CC=CC=C2C1C(=O)C3=CC(Br)=C(O)C(Br)=C3)O|CCC1OC2=C(C=CC=C2C1C(=O)C3=CC(Br)=C(O)C(Br)=C3)O|CCC1OC2=CC=CC=C2C1C(=O)C3=C(C(Br)=C(O)C(Br)=C3)O|CCC1OC2=CC=CC=C2C1C(=O)C3=CC(Br)=C(OC4OC(C(O)C(O)C4O)C(O)=O)C(Br)=C3|CCC1OC2=CC=CC(=C2C1C(=O)C3=CC(Br)=C(O)C(Br)=C3)O,Oc1cc(Br)c(O)c(Br)c1|CCC1Oc2cc(O)ccc2C1C(=O)c1cc(Br)c(O)c(Br)c1|CCC1Oc2ccccc2C1C(=O)c1cc(O)c(O)c(Br)c1
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,C1(=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1OC)O|COC1=CC(CC2=CN=C(NC3OC(C(O)C(O)C3O)C(O)=O)N=C2N)=CC(OC)=C1OC|COC1=CC(CC2=CN=C(N)[N+](=C2N)[O-])=CC(OC)=C1OC|COC1=CC(CC2=CN=C(N=C2N)[NH2+][O-])=CC(OC)=C1OC|COC1=CC(CC2=CN=C(N)N=C2NC3OC(C(O)C(O)C3O)C(O)=O)=CC(OC)=C1OC|COC1=CC(CC2=CN=C(N)N=C2N)=CC(OC)=C1O|COC1=CC(CC2=CN=C(N)N=C2NO)=CC(OC)=C1OC|O=C|COC1=CC(C(C2=CN=C(N)N=C2N)O)=CC(OC)=C1OC|COC1=CC(CC2=C([NH]=C(N)N=C2N)=O)=CC(OC)=C1OC|COC1=CC(CC2=CN=C(NO)N=C2N)=CC(OC)=C1OC,COc1cc(Cc2cnc(N)[n+]([O-])c2N)cc(OC)c1OC|COc1cc(Cc2c[n+]([O-])c(N)nc2N)cc(OC)c1OC|COc1cc(C(O)c2cnc(N)nc2N)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)cc(O)c1OC|COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O
O=P1(NCCCl)OCCCN1CCCl,C1CN(P(=O)(OC1)NCCCl)CCSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O|C1CNP(=O)(OC1)NCCCl|C1CN(P(=O)(OC1)NCCSCC(NC(=O)CCC(N)C(O)=O)C(=O)NCC(O)=O)CCCl|C1CN(P(=O)(OC1)N)CCCl|C1C(N(P(=O)(OC1)NCCCl)CCCl)O|C1CN(P(=O)(OC1)NCC(Cl)O)CCCl|C1CN(P(=O)(OC1)NCCCl)CC(Cl)O|ClCC=O,O=[P@]1(NCCCl)NCCCO1|O=P1(NCCCl)OCCC(S)N1CCCl|O=C(O)CCOP(=O)(NCCCl)NCCCl|N[P@]1(=O)OCCCN1CCCl|O=[P@@]1(NCCCl)OCCCN1CCCl|O=[P@]1(NCCCl)OCCCN1CCCl|O=C1NCCO1|NP1(=O)OCCCN1CCCl|O=[P@@]1(NCCCl)NCCCO1|O=P1(N(CCCl)CCCl)NCCCO1|O=P1(NCCCl)NCCCO1|O=P1(NCCCl)OCCC(O)N1CCCl|O=CCCl|N[P@@]1(=O)OCCCN1CCCl
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3O)NC(=O)NC4CC4)Cl|COC1=CC2=NC=CC(=C2C(=C1C(=O)N)O)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl|COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=C(C(=C(C=C3)NC(=O)NC4CC4)Cl)O|C1(=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl)O|COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C(=C3)O)NC(=O)NC4CC4)Cl|O=C|COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4C(C4)O)Cl,COc1cc2[nH]ccc(=O)c2cc1C(N)=O|NC(=O)c1cc2c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ccnc2cc1O|COc1cc2c(cc1C(N)=O)c(Oc1ccc(NC(=O)NC3CC3)c(Cl)c1)cc[n+]2[O-]
CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21,CN1C2=CC=CC=C2C(=O)N3CC(C4=C(NC5=CC=CC=C45)C31)O|CN1C2=CC=CC=C2C(=O)N3CCC4=C(NC5=CC(=CC=C45)O)C31|CN1C2=CC=C(C=C2C(=O)N3CCC4=C(NC5=CC=CC=C45)C31)O|CN1C2=CC=CC=C2C(=O)N3CCC4=C(NC5=CC=C(C=C45)O)C31|CN1C2=CC=CC=C2C(=O)[N+]3(CCC4=C(NC5=CC=CC=C45)C31)[O-]|CN1C2=CC(=CC=C2C(=O)N3CCC4=C(NC5=CC=CC=C45)C31)O|CN1C2=CC=CC=C2C(=O)N3CCC4=C(NC5=C(C=CC=C45)O)C31|O=C|CN1C2=C(C=CC=C2C(=O)N3CCC4=C(NC5=CC=CC=C45)C31)O|CN1C2=CC=CC(=C2C(=O)N3CCC4=C(NC5=CC=CC=C45)C31)O|CN1C2=CC=CC=C2C(=O)N3CCC4=C(NC5=CC=CC(=C45)O)C31|N1C2=CC=CC=C2C(=O)N3CCC4=C(NC5=CC=CC=C45)C31|CN(C1=CC=CC=C1C(=O)O)C2C3=C(CCN2)C4=CC=CC=C4N3|CN1C2=CC=CC=C2C(=O)N3C(CC4=C(NC5=CC=CC=C45)C31)O|CNC1=CC=CC=C1C(=O)N2CCC3=C(NC4=CC=CC=C34)C2=O,CN1c2ccccc2C(=O)N2CC(O)c3c([nH]c4ccccc34)C21|CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccc(O)cc34)C21
Clc1ccccc1CN1CCc2sccc2C1,O=CC1=CC=CC=C1Cl|ClC1=CC(=CC=C1CN2CCC=3SC=CC3C2)O|ClC1=CC=C(C=C1CN2CCC=3SC=CC3C2)O|ClC1=CC=CC=C1CN2CCC=3[S+](C=CC3C2)[O-]|ClC1=CC=CC(=C1CN2CCC=3SC=CC3C2)O|ClC1=CC=CC=C1C(N2CCC=3SC=CC3C2)O|ClC1=CC=CC=C1CN2CCC=3SC(=CC3C2)O|N1CCC=2SC=CC2C1|ClC1=CC=CC=C1C[N+]2(CCC=3SC=CC3C2)[O-]|ClC1=CC=CC=C1CN2CCC3=[S+][CH-]C4C3(C2)O4|ClC1=CC=CC=C1CN2C(CC=3SC=CC3C2)O|ClC1=CC=CC=C1CN2CC(C=3SC=CC3C2)O|ClC1=CC=CC=C1CN2CCC3SC(C=C3C2)=O|ClC1=CC=CC=C1CN2CCC=3SC4C(C3C2)O4|ClC1=CC=CC=C1CN2CCC=3SC=CC3C2O|ClC1=C(C=CC=C1CN2CCC=3SC=CC3C2)O,OC1CN(Cc2ccccc2Cl)Cc2ccsc21|[O-][S+]1C2=C(CN(Cc3ccccc3Cl)CC2)C2C1CC1=C3CN(Cc4ccccc4Cl)CCC32[S+]1[O-]|Clc1ccccc1CN1C=Cc2sccc2C1|[O-][N+]1(Cc2ccccc2Cl)CCc2sccc2C1|NC(CCC(=O)NC(CSc1cc2c(s1)CCN(Cc1ccccc1Cl)C2)C(=O)NCC(=O)O)C(=O)O|Clc1ccccc1CN1C=C2C=C[S+]=C2CC1|O=S1C=CC2=C1CCN(Cc1ccccc1Cl)C2|[O-][s+]1ccc2c1CCN(Cc1ccccc1Cl)C2|Oc1cc2c(s1)CCN(Cc1ccccc1Cl)C2|O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1|Clc1cc2c(s1)CCN(Cc1ccccc1Cl)C2
CC(=O)Nc1ccc(O)cc1,CC(=O)NC1=C(C=C(O)C=C1)O|CC(=O)O|CC(=O)NC12C(C=C(O)C=C1)O2|CC(=O)N=C1C=CC(=O)C=C1|CC(=O)N(C1=CC=C(O)C=C1)O|CC(=O)NC1=CC=C(O)C(=C1)O|NC1=CC=C(O)C=C1|CC(=O)NC1=CC=C(OC2OC(C(O)C(O)C2O)C(O)=O)C=C1|C(C(=O)NC1=CC=C(O)C=C1)O,CC(=O)Nc1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1|CC(=O)Nc1ccc(O)c(SCC(NC(=O)CCC(NS(=O)(=O)c2cccc3c(N(C)C)cccc23)C(=O)O)C(=O)NCC(=O)O)c1|CC(=O)Nc1ccc(O)c(SCC(N)C(=O)O)c1|CC(=O)NCC(=O)Oc1ccc(NC(C)=O)cc1|CC(=O)Nc1ccc(OS(=O)(=O)O)cc1|CC(=O)Nc1ccc(O)c(O)c1|CC(=O)N(c1ccc(O)cc1)[C@@H]1OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]1O|CC(=O)Nc1ccc(OC(C)=O)cc1|COc1cc(NC(C)=O)ccc1O|CC(=O)Nc1ccc(O[C@H]2OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1|CC(=O)Nc1ccc(O)cc1SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O|CC(=O)Nc1ccc(O[C@@H]2OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1|CC(=O)Nc1ccc(SCC(N)C(=O)O)cc1|CC(=O)N=C1C=CC(=O)C=C1|CC(=O)Nc1ccc(OC2OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1|CC(=O)Nc1ccc(O)c([N+](=O)[O-])c1|COc1ccc(NC(C)=O)cc1|CC(=O)Nc1ccc(O)c(SCC(NC(C)=O)C(=O)O)c1|Nc1ccc(O)cc1|CSc1cc(NC(C)=O)ccc1O
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,CNC1=C(C(=NC(C(=O)O)O)C2=CC=CC=C2)C=C(C=C1)Cl|CN1C(=O)C(N=C(C2=C1C=CC(=C2O)Cl)C3=CC=CC=C3)O|CN1C(=O)C(N=C(C2=C1C=C(C(=C2)Cl)O)C3=CC=CC=C3)O|CN1C(=O)C(N=C(C2=C1C=CC(=C2)Cl)C3=CC(=CC=C3)O)O|O=C|CN1C(=O)C(N=C(C2=C1C(=CC(=C2)Cl)O)C3=CC=CC=C3)O|CN1C(=O)C(N=C(C2=C1C=CC(=C2)Cl)C3=CC=C(C=C3)O)O|N1C(=O)C(N=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3)O|CN1C(=O)C(N=C(C2=C1C=CC(=C2)Cl)C3=C(C=CC=C3)O)O,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)NC1=O|O=C(O)[C@H]1O[C@@H](OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)[C@H](O)[C@@H](O)[C@@H]1O|CN1C(=O)C(O[C@@H]2OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)N=C(c2ccccc2)c2cc(Cl)ccc21|O=C1N=c2ccc(Cl)cc2=C(c2ccccc2)NC1O[C@@H]1OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]1O|O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O|CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,N(C1=NN=C(C2=CC=CC(Cl)=C2Cl)C(N)=N1)O|NC1=NN=C(C2=CC=CC(Cl)=C2Cl)C(NO)=N1|NC1=NN=C(C2=CC=C(C(Cl)=C2Cl)O)C(N)=N1|NC1=NN=C(C2=C(C=CC(Cl)=C2Cl)O)C(N)=N1|N(C1=NN=C(C2=CC=CC(Cl)=C2Cl)C(N)=N1)C3OC(C(O)C(O)C3O)C(O)=O|NC1=NN=C(C2=CC=CC(Cl)=C2Cl)C(NC3OC(C(O)C(O)C3O)C(O)=O)=N1|NC1=NN=C(C2=CC(=CC(Cl)=C2Cl)O)C(N)=N1,Nc1nc(N)[n+]([C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)nc1-c1cccc(Cl)c1Cl
CC(C)(N)Cc1ccccc1,CC(C)(N)C(C1=CC=CC=C1)O|CC(C)(N)CC1=CC=C(C=C1)O|CC(C)(N)CC1=C(C=CC=C1)O|C(C(C)(N)CC1=CC=CC=C1)O|CC(C)(CC1=CC=CC=C1)NO,CC(C)(Cc1ccccc1)N=O|CC(C)(N)Cc1ccc(O)cc1|CC(C)(Cc1ccccc1)NO
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,C=CCC1(CC(=C)C)C(=O)NC(=O)NC1=O|C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O|C=CCC1(CC(C)(C)O)C(=O)NC(=O)NC1=O|C=CCC(CC(C)C)(C(=O)NC(=O)N)C(=O)O|C1C(CC2(CC(C)C)C(=O)NC(=O)NC2=O)O1|C=CC(C1(CC(C)C)C(=O)NC(=O)NC1=O)O,CC(=O)CC1(CC(C)C)C(=O)NC(=O)NC1=O|C=CCC1(CC(C)CO)C(=O)NC(=O)NC1=O|CC(C)CC1(CC(O)CO)C(=O)NC(=O)NC1=O
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,C=C(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1|C(C(O)COC1=CC=C(CC(N)=O)C=C1)=O|OC1=CC=C(CC(N)=O)C=C1|CC(C)NCC(=O)COC1=CC=C(CC(N)=O)C=C1|C(C)(C)=O|CC(C)NCC(C=O)O|[NH3]CC(O)COC1=CC=C(CC(N)=O)C=C1|NCC(O)COC1=CC=C(CC(N)=O)C=C1|CC(C)NCC(OS(O)(=O)=O)COC1=CC=C(CC(N)=O)C=C1|CC(C)NCC(O)COC1=CC=C(C(C(N)=O)O)C=C1|NC(C)C|C(C(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1)O|CC(C)NCC(OC1OC(C(O)=O)C(C(C1O)O)O)COC2=CC=C(CC(N)=O)C=C2|CC(C)NCC(O)COC1=CC=C(CC(NC2C(C(O)C(C(O2)C(O)=O)O)O)=O)C=C1,CC(C)NCC(COc1ccc(CC(N)=O)cc1)OC1OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]1O|CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1|CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1|CC(C)NCC(O)COc1ccc(C(O)C(N)=O)cc1|CC(C)NCC(COc1ccc(CC(N)=O)cc1)OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O|CC(C)NCC(O)COc1ccc(C(=O)C(N)O)cc1
CNC[C@H](O)c1cccc(O)c1,O[C@H](C1=CC(OC2OC(C(O)C(O)C2O)C(O)=O)=CC=C1)CNC|O[C@H](C1=CC(O)=CC=C1)C=O|O[C@H](C1=CC(O)=CC=C1)CN|O[C@H](C1=C(C(O)=CC=C1)O)CNC|OC1=CC=C(C(CNC)O)C=C1O|C1=CC=C(C(CNC)=O)C=C1O|CNC[C@H](O)C1=CC(O)=C(O)C=C1|C1=CC=C(C(CN)O)C=C1O|O([C@H](C1=CC(O)=CC=C1)CNC)S(O)(=O)=O|C1=CC=C(C(O)C(NC)O)C=C1O|O=C|CNC[C@H](O)C1=CC=CC=C1|C=1C(=CC(=CC1O)C(CNC)O)O|NC|O[C@H](C1=CC(O)=CC=C1O)CNC,CNC[C@H](O)c1cccc(OC2OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1|O=C(O)C(O)c1cccc(O)c1|O=C(O)[C@H](O)c1cccc(O)c1
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CN1CCN(CCCN2C3=CC=CC=C3SC4=CC(=C(Cl)C=C42)O)CC1|C(CCN1C2=CC=CC=C2SC3=CC=C(Cl)C=C31)=O|CN1CCNCC1|CN1CCN(CCC(N2C3=CC=CC=C3SC4=CC=C(Cl)C=C42)O)CC1|CN1CC(N(CCCN2C3=CC=CC=C3SC4=CC=C(Cl)C=C42)CC1)O|CN1CCN(CCCN2C3=CC=CC=C3SC4=CC=C(Cl)C(=C42)O)CC1|CN1C(CN(CCCN2C3=CC=CC=C3SC4=CC=C(Cl)C=C42)CC1)O|N1C2=CC=CC=C2SC3=CC=C(Cl)C=C31|CN1CCN(C(CCN2C3=CC=CC=C3SC4=CC=C(Cl)C=C42)O)CC1|CN1CCN(CCCN2C3=CC(=CC=C3SC4=CC=C(Cl)C=C42)O)CC1|CN1CCN(CCC=O)CC1|CN1CCN(CCCN2C3=CC=C(C=C3SC4=CC=C(Cl)C=C42)O)CC1|O=C|CN1CC[N+](CCCN2C3=CC=CC=C3SC4=CC=C(Cl)C=C42)(CC1)[O-]|N1CCN(CCCN2C3=CC=CC=C3SC4=CC=C(Cl)C=C42)CC1|CN1CCN(CC(CN2C3=CC=CC=C3SC4=CC=C(Cl)C=C42)O)CC1|CN1CCN(CCCN2C3=CC=CC=C3S(C4=CC=C(Cl)C=C42)=O)CC1|CN1CCN(CCCN2C3=CC=CC=C3SC4=C(C=C(Cl)C=C42)O)CC1|C[N+]1(CCN(CCCN2C3=CC=CC=C3SC4=CC=C(Cl)C=C42)CC1)[O-],CN1CCN(CCCN2c3ccccc3[S+]([O-])c3ccc(Cl)cc32)CC1|CN1CCN(CCCN2c3ccc(O)cc3Sc3ccc(Cl)cc32)CC1|Clc1ccc2c(c1)N(CCCN1CCNCC1)c1ccccc1S2|CN1CCN(CCCN2c3ccccc3S(=O)c3ccc(Cl)cc32)CC1
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC=C(O)C3O)C(C4=CC=C(OCCN5CCCCC5)C=C4)=O|C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC=C(C3)O)C(C4=CC=C(OCCN5CC(CCC5)O)C=C4)=O|C1(=C(C2=CC=C(O)C=C2)[S+](C=3C1=CC=C(C3)O)[O-])C(C4=CC=C(OCCN5CCCCC5)C=C4)=O|N1CCCCC1|C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC=C(C3)O)C(C4=CC=C(OCC(N5CCCCC5)O)C=C4)=O|C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC=C(C3)O)C(C4=CC=C(OCCN5C(CCCC5)O)C=C4)=O|C(CN1CCCCC1)=O|C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC=C(C3)O)C(C4=CC=C(OCCNCCCCC(O)=O)C=C4)=O|C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC=C(C3)O)C(C4=CC=C(OCC[N+]5(CCCCC5)[O-])C=C4)=O|C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC=C(C3)O)C(C4=CC=C(OCC=O)C=C4)=O|C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC=C(C3)O)C(C4=CC=C(OCCN5CCCCC5)C=C4)O|C1(=C(C2=CC=C(O)C(=C2)O)SC=3C1=CC=C(C3)O)C(C4=CC=C(OCCN5CCCCC5)C=C4)=O|C1(=C(C2=CC=C(OC3OC(C(O)C(O)C3O)C(O)=O)C=C2)SC=4C1=CC=C(C4)O)C(C5=CC=C(OCCN6CCCCC6)C=C5)=O|C1(=C(C2=CC=CC=C2)SC=3C1=CC=C(C3)O)C(C4=CC=C(OCCN5CCCCC5)C=C4)=O|C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC=C(C3)O)C(C4=CC=C(OCC[N+]5=CCCCC5)C=C4)=O|C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC(=C(C3)O)O)C(C4=CC=C(OCCN5CCCCC5)C=C4)=O|C1(=C(C2=CC=C(O)C=C2)SC=3C1=C(C=C(C3)O)O)C(C4=CC=C(OCCN5CCCCC5)C=C4)=O|C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC=C(C3)O)C(C4=CC=C(OCCN5CCCCC5)C(=C4)O)=O|C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC=C(C3)OC4OC(C(O)C(O)C4O)C(O)=O)C(C5=CC=C(OCCN6CCCCC6)C=C5)=O|C1(=C(C2=CC=C(O)C=C2)SC=3C1=CC=C(C3)O)C(C4=CC=C(O)C=C4)=O,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(OC3C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H]3C(=O)O)cc2)sc2cc(O)ccc12|NC(CCC(=O)NC(CSc1c(O)ccc2c(C(=O)c3ccc(OCCN4CCCCC4)cc3)c(-c3ccc(O)cc3)sc12)C(=O)NCC(=O)O)C(=O)O|O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(OCC3C(C(=O)O)[C@@H](O)[C@H](O)[C@@H](O)C3O)ccc12|O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O[C@@H]3OC(C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)ccc12|O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(OCC3C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H]3C(=O)O)ccc12|O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(OS(=O)(=O)O)cc2)sc2cc(O)ccc12|O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)c(O)c2)sc2cc(O)ccc12|O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2c(O)c(O)ccc12|O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(OC3C(C(=O)O)[C@@H](O)[C@H](O)[C@@H](O)C3O)cc2)sc2cc(O)ccc12|O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(OC3C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H]3C(=O)O)cc2)sc2cc(OC3C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H]3C(=O)O)ccc12|O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(OC3C(C(=O)O)[C@@H](O)[C@H](O)[C@@H](O)C3O)cc2)sc2cc(OC3C(C(=O)O)[C@@H](O)[C@H](O)[C@@H](O)C3O)ccc12
Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,CC1=CC(CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4)=C(C=C1)O|CC1=C(C(CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4)=CC=C1)O|CC1=CC(CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4)=CC=C1O|CC1=CC(CN2CCN(CC2)C(C3=C(C=CC=C3)O)C4=CC=C(Cl)C=C4)=CC=C1|CC1=CC(CN2CCN(CC2)C(C3=CC=CC=C3)C4=C(C=C(Cl)C=C4)O)=CC=C1|CC1=CC(CN2CC(N(CC2)C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4)O)=CC=C1|C(C1=CC(CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4)=CC=C1)O|N1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3|CC1=CC(C(N2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4)O)=CC=C1|CC1=CC(CN2CCNCC2)=CC=C1|CC1=CC(CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC(=C(Cl)C=C4)O)=CC=C1|CC1=CC(CN2CC[N+](CC2)(C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4)[O-])=CC=C1|C(C1=CC=CC=C1)(C2=CC=C(Cl)C=C2)=O|CC1=CC(C=O)=CC=C1|CC1=CC(C[N+]2(CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4)[O-])=CC=C1|CC1=CC(CN2C(CN(CC2)C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4)O)=CC=C1|CC1=CC(CN2CCN(CC2)C(C3=CC=C(C=C3)O)C4=CC=C(Cl)C=C4)=CC=C1,Cc1cccc(CN2CCN(C(c3ccc(O)cc3)c3ccc(Cl)cc3)CC2)c1|Cc1cccc(C(=O)O)c1|OCc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1|Cc1cccc(C(=O)NCC(=O)O)c1|O=C(O)c1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1|COc1ccc(C(c2ccc(Cl)cc2)N2CCN(Cc3cccc(C(=O)O)c3)CC2)cc1O|Cc1cccc(C[N+]2([O-])CC[N+]([O-])(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1|Cc1cccc(CN2CC[N+]([O-])(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1|O=C(NCCS(=O)(=O)O)c1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1|NC(=O)c1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1
COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,COC1=CC2=NC(N3C(CN(C(=O)C4CCCO4)CC3)O)=NC(N)=C2C=C1OC|COC1=CC2=NC(NCCN(CC=O)C(=O)C3CCCO3)=NC(N)=C2C=C1OC|COC1=CC2=NC(N3CCN(C(=O)C4CCCO4)CC3)=NC(N)=C2C=C1O|COC1=CC2=NC(N3CCN(C(=O)C4CCCO4)CC3)=NC(NO)=C2C=C1OC|COC1=CC2=NC(N3CCN(C(=O)C4C(CCO4)O)CC3)=NC(N)=C2C=C1OC|COC1=CC2=NC(N3CCN(C(=O)C4CCCO4)CC3)=NC(NC5OC(C(O)C(O)C5O)C(O)=O)=C2C=C1OC|O=C|OC1=CC2=NC(N3CCN(C(=O)C4CCCO4)CC3)=NC(N)=C2C=C1OC|COC1=CC2=NC(N3CCN(C(=O)C4CCCO4)CC3)=NC(N)=C2C(=C1OC)O|COC1=CC2=NC(N3CCN(C(=O)C4CC(CO4)O)CC3)=NC(N)=C2C=C1OC|COC1=CC2=NC(N3CC(N(C(=O)C4CCCO4)CC3)O)=NC(N)=C2C=C1OC,COc1cc2c(N)nc(N3CCN(C(=O)C4CCCO4)CC3)nc2cc1O|COc1cc2nc(N3CCNCC3)nc(N)c2cc1OC|COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1O
