substrate,metabolite,mapped_rxn,pred_rxn,site_truth
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,CCC1Oc2cc(O)ccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,CCC1Oc2cc(O)ccc2C1C(=O)c1cc(Br)c(O)c(Br)c1>>CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,[CH3:1][CH2:2][CH:3]1[O:4][c:5]2[cH:6][c:7](O)[cH:8][cH:9][c:10]2[CH:11]1[C:12](=[O:13])[c:14]1[cH:15][c:16]([Br:17])[c:18]([OH:19])[c:20]([Br:21])[cH:22]1>>[CH3:1][CH2:2][CH:3]1[O:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[CH:11]1[C:12](=[O:13])[c:14]1[cH:15][c:16]([Br:17])[c:18]([OH:19])[c:20]([Br:21])[cH:22]1,CCC1Oc2c[cH:1]ccc2C1C(=O)c1cc(Br)c(O)c(Br)c1
CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,CCCCCCCCc1ccc(CC[C@](N)(CO)COP(=O)(O)O)cc1,CCCCCCCCc1ccc(CC[C@](N)(CO)COP(=O)(O)O)cc1>>CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][c:9]1[cH:10][cH:11][c:12]([CH2:13][CH2:14][C@:15]([NH2:16])([CH2:17][OH:18])[CH2:19][O:20]P(=O)(O)O)[cH:21][cH:22]1>>[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][c:9]1[cH:10][cH:11][c:12]([CH2:13][CH2:14][C:15]([NH2:16])([CH2:17][OH:18])[CH2:19][OH:20])[cH:21][cH:22]1,CCCCCCCCc1ccc(CCC(N)(CO)C[OH:1])cc1
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,CCCCNc1ccc(C(=O)O)cc1,CCCCNc1ccc(C(=O)O)cc1>>CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,[CH3:1][CH2:2][CH2:3][CH2:4][NH:5][c:6]1[cH:7][cH:8][c:9]([C:10](=[O:11])[OH:12])[cH:41][cH:42]1>>[CH3:1][CH2:2][CH2:3][CH2:4][NH:5][c:6]1[cH:7][cH:8][c:9]([C:10](=[O:11])[O:12]CCOCCOCCOCCOCCOCCOCCOCCOCCOC)[cH:41][cH:42]1,CCCCNc1ccc(C(=O)[O:1]CCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCNCC)c(I)c1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCNCC)c(I)c1>>CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[o:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[c:13]1[C:14](=[O:15])[c:16]1[cH:31][c:29]([I:30])[c:20]([O:21][CH2:22][CH2:23][NH:24][CH2:25][CH3:26])[c:18]([I:19])[cH:17]1>>[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[o:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[c:13]1[C:14](=[O:15])[c:16]1[cH:17][c:18]([I:19])[c:20]([O:21][CH2:22][CH2:23][N:24]([CH2:25][CH3:26])CC)[c:29]([I:30])[cH:31]1,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC[N:1](CC)CC)c(I)c1
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCSc1nc(N)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCSc1nc(N)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1>>CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,[CH3:1][CH2:2][CH2:3][S:4][c:5]1[n:6][c:7]([NH2:8])[c:20]2[n:21][n:22][n:23]([C@@H:24]3[CH2:25][C@H:26]([O:27][CH2:28][CH2:29][OH:30])[C@@H:31]([OH:32])[C@H:33]3[OH:34])[c:35]2[n:36]1>>[CH3:1][CH2:2][CH2:3][S:4][c:5]1[n:6][c:7]([NH:8][C@@H]2C[C@H]2c2ccc(F)c(F)c2)[c:20]2[n:21][n:22][n:23]([C@@H:24]3[CH2:25][C@H:26]([O:27][CH2:28][CH2:29][OH:30])[C@@H:31]([OH:32])[C@H:33]3[OH:34])[c:35]2[n:36]1,CCCSc1nc([NH:1][C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1
CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](O)[C@@H](O)[C@H]3O)c2n1,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](O)[C@@H](O)[C@H]3O)c2n1>>CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,[CH3:1][CH2:2][CH2:3][S:4][c:5]1[n:6][c:7]([NH:8][C@@H:9]2[CH2:10][C@H:11]2[c:12]2[cH:13][cH:14][c:15]([F:16])[c:17]([F:18])[cH:19]2)[c:20]2[n:21][n:22][n:23]([C@@H:24]3[CH2:25][C@H:26]([OH:27])[C@@H:31]([OH:32])[C@H:33]3[OH:34])[c:35]2[n:36]1>>[CH3:1][CH2:2][CH2:3][S:4][c:5]1[n:6][c:7]([NH:8][C@@H:9]2[CH2:10][C@H:11]2[c:12]2[cH:13][cH:14][c:15]([F:16])[c:17]([F:18])[cH:19]2)[c:20]2[n:21][n:22][n:23]([C@@H:24]3[CH2:25][C@H:26]([O:27]CCO)[C@@H:31]([OH:32])[C@H:33]3[OH:34])[c:35]2[n:36]1,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H]([O:1]CCO)[C@@H](O)[C@H]3O)c2n1
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,CCC[C@H]1CN[C@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)C1,CCC[C@H]1CN[C@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)C1>>CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,[CH3:1][CH2:2][CH2:3][C@H:4]1[CH2:27][NH:25][C@H:6]([C:7](=[O:8])[NH:9][CH:10]([CH:11]([CH3:12])[Cl:13])[C@H:14]2[O:15][C@H:16]([S:17][CH3:18])[C@H:19]([OH:20])[C@@H:21]([OH:22])[C@H:23]2[OH:24])[CH2:5]1>>[CH3:1][CH2:2][CH2:3][C@@H:4]1[CH2:5][C@@H:6]([C:7](=[O:8])[NH:9][CH:10]([CH:11]([CH3:12])[Cl:13])[C@H:14]2[O:15][C@H:16]([S:17][CH3:18])[C@H:19]([OH:20])[C@@H:21]([OH:22])[C@H:23]2[OH:24])[N:25](C)[CH2:27]1,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)[N:1](C)C1
CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](S(C)=O)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](S(C)=O)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1>>CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,[CH3:1][CH2:2][CH2:3][C@@H:4]1[CH2:5][C@@H:6]([C:7](=[O:8])[NH:9][CH:10]([CH:11]([CH3:12])[Cl:13])[C@H:14]2[O:15][C@H:16]([S:17]([CH3:18])=O)[C@H:19]([OH:20])[C@@H:21]([OH:22])[C@H:23]2[OH:24])[N:25]([CH3:26])[CH2:27]1>>[CH3:1][CH2:2][CH2:3][C@@H:4]1[CH2:5][C@@H:6]([C:7](=[O:8])[NH:9][CH:10]([CH:11]([CH3:12])[Cl:13])[C@H:14]2[O:15][C@H:16]([S:17][CH3:18])[C@H:19]([OH:20])[C@@H:21]([OH:22])[C@H:23]2[OH:24])[N:25]([CH3:26])[CH2:27]1,CCC[C@@H]1C[C@@H](C(=O)NC(C(C)Cl)[C@H]2O[C@H]([S:1]C)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CCNCCNC(=O)c1cc(Cl)c(N)cc1OC,CCNCCNC(=O)c1cc(Cl)c(N)cc1OC>>CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,[CH3:1][CH2:2][NH:3][CH2:6][CH2:7][NH:8][C:9](=[O:10])[c:11]1[cH:12][c:13]([Cl:14])[c:15]([NH2:16])[cH:17][c:18]1[O:19][CH3:20]>>[CH3:1][CH2:2][N:3](CC)[CH2:6][CH2:7][NH:8][C:9](=[O:10])[c:11]1[cH:12][c:13]([Cl:14])[c:15]([NH2:16])[cH:17][c:18]1[O:19][CH3:20],CC[N:1](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CCN(CC)CCNC(=O)c1cc(Cl)c([N+](=O)[O-])cc1OC,CCN(CC)CCNC(=O)c1cc(Cl)c([N+](=O)[O-])cc1OC>>CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7][NH:8][C:9](=[O:10])[c:11]1[cH:12][c:13]([Cl:14])[c:15]([N+:16](=O)[O-])[cH:17][c:18]1[O:19][CH3:20]>>[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7][NH:8][C:9](=[O:10])[c:11]1[cH:12][c:13]([Cl:14])[c:15]([NH2:16])[cH:17][c:18]1[O:19][CH3:20],CCN(CC)CCNC(=O)c1cc(Cl)c([NH2:1])cc1OC
CCN(CC)CCOC(=O)c1ccc(N)cc1,CCN(CC)CCO,CCN(CC)CCO>>CCN(CC)CCOC(=O)c1ccc(N)cc1,[CH3:5][CH2:4][N:3]([CH2:2][CH3:1])[CH2:6][CH2:7][OH:8]>>[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7][O:8]C(=O)c1ccc(N)cc1,CCN(CC)CC[O:1]C(=O)c1ccc(N)cc1
CCN(CC)CCOC(=O)c1ccc(N)cc1,Nc1ccc(C(=O)O)cc1,Nc1ccc(C(=O)O)cc1>>CCN(CC)CCOC(=O)c1ccc(N)cc1,[NH2:3][c:14]1[cH:13][cH:12][c:11]([C:9](=[O:10])[OH:8])[cH:17][cH:16]1>>CC[N:3](CC)CC[O:8][C:9](=[O:10])[c:11]1[cH:12][cH:13][c:14](N)[cH:16][cH:17]1,CC[N:1](CC)CC[O:1]C(=O)c1cc[c:1](N)cc1
CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN4CCOCC4)cc3)cc(NC3CCOCC3)c2C)c(=O)[nH]1,Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN4CCOCC4)cc3)cc(NC3CCOCC3)c2C)c(=O)[nH]1>>CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,[CH3:31][c:30]1[cH:29][c:27]([CH3:28])[c:26]([CH2:25][NH:24][C:22](=[O:23])[c:21]2[cH:20][c:6](-[c:7]3[cH:8][cH:9][c:10]([CH2:11][N:12]4[CH2:13][CH2:14][O:15][CH2:16][CH2:17]4)[cH:18][cH:19]3)[cH:5][c:4]([NH:3][CH:37]3[CH2:38][CH2:39][O:40][CH2:41][CH2:42]3)[c:35]2[CH3:36])[c:33](=[O:34])[nH:32]1>>CC[N:3]([c:4]1[cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10]([CH2:11][N:12]3[CH2:13][CH2:14][O:15][CH2:16][CH2:17]3)[cH:18][cH:19]2)[cH:20][c:21]([C:22](=[O:23])[NH:24][CH2:25][c:26]2[c:27]([CH3:28])[cH:29][c:30]([CH3:31])[nH:32][c:33]2=[O:34])[c:35]1[CH3:36])[CH:37]1[CH2:38][CH2:39][O:40][CH2:41][CH2:42]1,CC[N:1](c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,C[C@H]1C[C@H](N)c2cc(S(N)(=O)=O)sc2S1(=O)=O,C[C@H]1C[C@H](N)c2cc(S(N)(=O)=O)sc2S1(=O)=O>>CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,[CH3:7][C@H:6]1[CH2:5][C@H:4]([NH2:3])[c:19]2[cH:18][c:13]([S:14]([NH2:15])(=[O:16])=[O:17])[s:12][c:11]2[S:8]1(=[O:9])=[O:10]>>CC[NH:3][C@H:4]1[CH2:5][C@H:6]([CH3:7])[S:8](=[O:9])(=[O:10])[c:11]2[s:12][c:13]([S:14]([NH2:15])(=[O:16])=[O:17])[cH:18][c:19]21,CC[NH:1][C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21,CCNCC(=O)N1c2ccccc2CCc2ccc(NC(=O)OCC)cc21>>CCOC(=O)Nc1ccc2c(c1)N(C(=O)CN(CC)CC)c1ccccc1CC2,[CH3:19][CH2:18][NH:17][CH2:16][C:14](=[O:15])[N:13]1[c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]2[CH2:28][CH2:29][c:10]2[cH:9][cH:8][c:7]([NH:6][C:4](=[O:5])[O:3][CH2:2][CH3:1])[cH:12][c:11]21>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[NH:6][c:7]1[cH:8][cH:9][c:10]2[c:11]([cH:12]1)[N:13]([C:14](=[O:15])[CH2:16][N:17]([CH2:18][CH3:19])CC)[c:22]1[cH:23][cH:24][cH:25][cH:26][c:27]1[CH2:28][CH2:29]2,CCOC(=O)Nc1ccc2c(c1)N(C(=O)C[N:1](CC)CC)c1ccccc1CC2
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12>>CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([O:23]S(=O)(=O)O)[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c([OH:1])c(CN(C)C)c12
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccc(O)cc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccc(O)cc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12>>CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][c:13](O)[cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12,CCOC(=O)c1c(CSc2cc[cH:1]cc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12,CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12>>CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9](=O)(=O)[c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][NH:26][CH3:27])[c:29]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])C)[c:29]12,CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c(O)c(C[N:1](C)C)c12
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12,CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(OS(=O)(=O)O)c(CN(C)C)c12>>CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9](=O)(=O)[c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([O:23]S(=O)(=O)O)[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12,CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c([OH:1])c(CN(C)C)c12
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12>>CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][NH:26][CH3:27])[c:29]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])C)[c:29]12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(C[N:1](C)C)c12
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12>>CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9](=O)[c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12,CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CO)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CO)n(C)c2cc(Br)c(O)c(CN(C)C)c12>>CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8]O)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8]Sc2ccccc2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12,CCOC(=O)c1c(CS(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CNC)c12>>CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9](=O)[c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][NH:26][CH3:27])[c:29]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])C)[c:29]12,CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c(O)c(C[N:1](C)C)c12
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(CN(C)C)c12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(OC3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c(CN(C)C)c12>>CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22](OC3O[C@H](C(=O)O)[C@@H](O)[C@H]([OH:23])[C@H]3O)[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)[c:1]([OH:1])c(CN(C)C)c12
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,CCOC(=O)c1c(CS(=O)(=O)c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12>>CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9](=O)(=O)[c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[c:7]([CH2:8][S:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[n:16]([CH3:17])[c:18]2[cH:19][c:20]([Br:21])[c:22]([OH:23])[c:24]([CH2:25][N:26]([CH3:27])[CH3:28])[c:29]12,CCOC(=O)c1c(C[S:1]c2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12
