substrate,truth,mapped_rxn,pred_rxn,site_truth
COc1c([C@H]2C(C(=O)Nc3ccnc(C(N)=O)c3)O[C@@](C)(C(F)(F)F)[C@H]2C)ccc(F)c1F,C[C@H]1[C@@H](c2ccc(F)c(F)c2O)C(C(=O)Nc2ccnc(C(N)=O)c2)O[C@@]1(C)C(F)(F)F,C[C@H]1[C@@H](c2ccc(F)c(F)c2O)C(C(=O)Nc2ccnc(C(N)=O)c2)O[C@@]1(C)C(F)(F)F>>COc1c([C@H]2C(C(=O)Nc3ccnc(C(N)=O)c3)O[C@@](C)(C(F)(F)F)[C@H]2C)ccc(F)c1F,[CH3:27][C@H:26]1[C@@H:5]([c:4]2[cH:28][cH:29][c:30]([F:31])[c:32]([F:33])[c:3]2[OH:2])[CH:6]([C:7](=[O:8])[NH:9][c:10]2[cH:11][cH:12][n:13][c:14]([C:15]([NH2:16])=[O:17])[cH:18]2)[O:19][C@@:20]1([CH3:21])[C:22]([F:23])([F:24])[F:25]>>C[O:2][c:3]1[c:4]([C@H:5]2[CH:6]([C:7](=[O:8])[NH:9][c:10]3[cH:11][cH:12][n:13][c:14]([C:15]([NH2:16])=[O:17])[cH:18]3)[O:19][C@@:20]([CH3:21])([C:22]([F:23])([F:24])[F:25])[C@H:26]2[CH3:27])[cH:28][cH:29][c:30]([F:31])[c:32]1[F:33],C[C@H]1[C@@H](c2ccc(F)c(F)c2[O:1]C)C(C(=O)Nc2ccnc(C(N)=O)c2)O[C@@]1(C)C(F)(F)F
CCN(CC)CCc1c[nH]c2cccc(OC(C)=O)c12,CCN(CC)CCc1c[nH]c2cccc(O)c12,CCN(CC)CCc1c[nH]c2cccc(O)c12>>CCN(CC)CCc1c[nH]c2cccc(OC(C)=O)c12,[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7][c:8]1[cH:9][nH:10][c:11]2[cH:12][cH:13][cH:14][c:15]([OH:16])[c:20]12>>[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[CH2:6][CH2:7][c:8]1[cH:9][nH:10][c:11]2[cH:12][cH:13][cH:14][c:15]([O:16]C(C)=O)[c:20]12,CCN(CC)CCc1c[nH]c2cccc([O:1]C(C)=O)c12
N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@@H]3C(=O)NCc3ccc(C(F)(F)F)cc3)c2)C1,NS(=O)(=O)c1cccc(C(=O)N2CCC[C@@H]2C(=O)NCc2ccc(C(F)(F)F)cc2)c1,NS(=O)(=O)c1cccc(C(=O)N2CCC[C@@H]2C(=O)NCc2ccc(C(F)(F)F)cc2)c1>>N#CC1CN(S(=O)(=O)c2cccc(C(=O)N3CCC[C@@H]3C(=O)NCc3ccc(C(F)(F)F)cc3)c2)C1,[NH2:5][S:6](=[O:7])(=[O:8])[c:9]1[cH:10][cH:11][cH:12][c:13]([C:14](=[O:15])[N:16]2[CH2:17][CH2:18][CH2:19][C@@H:20]2[C:21](=[O:22])[NH:23][CH2:24][c:25]2[cH:26][cH:27][c:28]([C:29]([F:30])([F:31])[F:32])[cH:33][cH:34]2)[cH:35]1>>N#CC1C[N:5]([S:6](=[O:7])(=[O:8])[c:9]2[cH:10][cH:11][cH:12][c:13]([C:14](=[O:15])[N:16]3[CH2:17][CH2:18][CH2:19][C@@H:20]3[C:21](=[O:22])[NH:23][CH2:24][c:25]3[cH:26][cH:27][c:28]([C:29]([F:30])([F:31])[F:32])[cH:33][cH:34]3)[cH:35]2)C1,N#CC1C[N:1](S(=O)(=O)c2cccc(C(=O)N3CCC[C@@H]3C(=O)NCc3ccc(C(F)(F)F)cc3)c2)C1
CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,C[C@H](N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)O,C[C@H](N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1)C(=O)O>>CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,[CH3:11][C@H:10]([NH:12][P@:13](=[O:14])([O:15][CH2:16][C@H:17]1[O:18][C@@:19]([C:20]#[N:21])([c:22]2[cH:23][cH:24][c:25]3[c:26]([NH2:27])[n:28][cH:29][n:30][n:31]23)[C@H:32]([OH:33])[C@@H:34]1[OH:35])[O:36][c:37]1[cH:38][cH:39][cH:40][cH:41][cH:42]1)[C:8](=[O:9])[OH:7]>>CCC(CC)C[O:7][C:8](=[O:9])[C@H:10]([CH3:11])[NH:12][P@:13](=[O:14])([O:15][CH2:16][C@H:17]1[O:18][C@@:19]([C:20]#[N:21])([c:22]2[cH:23][cH:24][c:25]3[c:26]([NH2:27])[n:28][cH:29][n:30][n:31]23)[C@H:32]([OH:33])[C@@H:34]1[OH:35])[O:36][c:37]1[cH:38][cH:39][cH:40][cH:41][cH:42]1,CCC(CC)C[O:1]C(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1
O=C1CC[C@@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,O=C1CC[C@@H](N2Cc3c(OCc4ccc(CN5CCOCC5=O)cc4)cccc3C2=O)C(=O)N1,O=C1CC[C@@H](N2Cc3c(OCc4ccc(CN5CCOCC5=O)cc4)cccc3C2=O)C(=O)N1>>O=C1CC[C@@H](N2Cc3c(OCc4ccc(CN5CCOCC5)cc4)cccc3C2=O)C(=O)N1,[O:1]=[C:2]1[CH2:3][CH2:4][C@@H:5]([N:6]2[CH2:7][c:8]3[c:9]([O:10][CH2:11][c:12]4[cH:13][cH:14][c:15]([CH2:16][N:17]5[CH2:18][CH2:19][O:20][CH2:21][C:22]5=O)[cH:23][cH:24]4)[cH:25][cH:26][cH:27][c:28]3[C:29]2=[O:30])[C:31](=[O:32])[NH:33]1>>[O:1]=[C:2]1[CH2:3][CH2:4][C@@H:5]([N:6]2[CH2:7][c:8]3[c:9]([O:10][CH2:11][c:12]4[cH:13][cH:14][c:15]([CH2:16][N:17]5[CH2:18][CH2:19][O:20][CH2:21][CH2:22]5)[cH:23][cH:24]4)[cH:25][cH:26][cH:27][c:28]3[C:29]2=[O:30])[C:31](=[O:32])[NH:33]1,O=C1CC[C@@H](N2Cc3c(OCc4ccc(CN5CCOC[CH2:1]5)cc4)cccc3C2=O)C(=O)N1
CNC(C)Cc1ccc2c(c1)OCO2,CC(N)Cc1ccc2c(c1)OCO2,CC(N)Cc1ccc2c(c1)OCO2>>CNC(C)Cc1ccc2c(c1)OCO2,[CH3:4][CH:3]([NH2:2])[CH2:5][c:6]1[cH:7][cH:8][c:9]2[c:10]([cH:11]1)[O:12][CH2:13][O:14]2>>C[NH:2][CH:3]([CH3:4])[CH2:5][c:6]1[cH:7][cH:8][c:9]2[c:10]([cH:11]1)[O:12][CH2:13][O:14]2,CC(Cc1ccc2c(c1)OCO2)[NH:1]C
Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21,Cn1cnc2[nH]c(=O)n(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21,Cn1cnc2[nH]c(=O)n(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21>>Cn1cnc2ncn(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21,[CH3:1][n:2]1[cH:3][n:4][c:5]2[nH:6][c:7](=O)[n:8]([CH2:9][c:10]3[n:11][c:12]([C@@H:13]4[CH2:14][O:15][C@@H:16]([c:17]5[cH:18][cH:19][c:20]([Cl:21])[cH:22][cH:23]5)[CH2:24]4)[n:25][o:26]3)[c:27](=[O:28])[c:29]12>>[CH3:1][n:2]1[cH:3][n:4][c:5]2[n:6][cH:7][n:8]([CH2:9][c:10]3[n:11][c:12]([C@@H:13]4[CH2:14][O:15][C@@H:16]([c:17]5[cH:18][cH:19][c:20]([Cl:21])[cH:22][cH:23]5)[CH2:24]4)[n:25][o:26]3)[c:27](=[O:28])[c:29]12,Cn1cnc2n[cH:1]n(Cc3nc([C@@H]4CO[C@@H](c5ccc(Cl)cc5)C4)no3)c(=O)c21
CC1OC(OC2C(OC(=O)[C@]34CCC(C)(C)CC3C3=CCC5[C@@]6(C)C[C@H](O)[C@H](OC7OC(CO)C(O)C(O)C7O)C(CO)(CO)C6CC[C@@]5(C)[C@]3(C)C[C@H]4O)OCC(O)C2O)C(O)C(O)C1OC1OCC(O)C(OC2OCC(O)C2(O)CO)C1O,CC1OC(OC2C(OC(=O)[C@]34CCC(C)(C)CC3C3=CCC5[C@@]6(C)C[C@H](O)[C@H](O)C(CO)(CO)C6CC[C@@]5(C)[C@]3(C)C[C@H]4O)OCC(O)C2O)C(O)C(O)C1OC1OCC(O)C(OC2OCC(O)C2(O)CO)C1O,CC1OC(OC2C(OC(=O)[C@]34CCC(C)(C)CC3C3=CCC5[C@@]6(C)C[C@H](O)[C@H](O)C(CO)(CO)C6CC[C@@]5(C)[C@]3(C)C[C@H]4O)OCC(O)C2O)C(O)C(O)C1OC1OCC(O)C(OC2OCC(O)C2(O)CO)C1O>>CC1OC(OC2C(OC(=O)[C@]34CCC(C)(C)CC3C3=CCC5[C@@]6(C)C[C@H](O)[C@H](OC7OC(CO)C(O)C(O)C7O)C(CO)(CO)C6CC[C@@]5(C)[C@]3(C)C[C@H]4O)OCC(O)C2O)C(O)C(O)C1OC1OCC(O)C(OC2OCC(O)C2(O)CO)C1O,[CH3:1][CH:2]1[O:3][CH:4]([O:5][CH:6]2[CH:7]([O:8][C:9](=[O:10])[C@:11]34[CH2:12][CH2:13][C:14]([CH3:15])([CH3:16])[CH2:17][CH:18]3[C:19]3=[CH:20][CH2:21][CH:22]5[C@@:23]6([CH3:24])[CH2:25][C@H:26]([OH:27])[C@H:28]([OH:29])[C:41]([CH2:42][OH:43])([CH2:44][OH:45])[CH:46]6[CH2:47][CH2:48][C@@:49]5([CH3:50])[C@:51]3([CH3:52])[CH2:53][C@H:54]4[OH:55])[O:56][CH2:57][CH:58]([OH:59])[CH:60]2[OH:61])[CH:62]([OH:63])[CH:64]([OH:65])[CH:66]1[O:67][CH:68]1[O:69][CH2:70][CH:71]([OH:72])[CH:73]([O:74][CH:75]2[O:76][CH2:77][CH:78]([OH:79])[C:80]2([OH:81])[CH2:82][OH:83])[CH:84]1[OH:85]>>[CH3:1][CH:2]1[O:3][CH:4]([O:5][CH:6]2[CH:7]([O:8][C:9](=[O:10])[C@:11]34[CH2:12][CH2:13][C:14]([CH3:15])([CH3:16])[CH2:17][CH:18]3[C:19]3=[CH:20][CH2:21][CH:22]5[C@@:23]6([CH3:24])[CH2:25][C@H:26]([OH:27])[C@H:28]([O:29]C7OC(CO)C(O)C(O)C7O)[C:41]([CH2:42][OH:43])([CH2:44][OH:45])[CH:46]6[CH2:47][CH2:48][C@@:49]5([CH3:50])[C@:51]3([CH3:52])[CH2:53][C@H:54]4[OH:55])[O:56][CH2:57][CH:58]([OH:59])[CH:60]2[OH:61])[CH:62]([OH:63])[CH:64]([OH:65])[CH:66]1[O:67][CH:68]1[O:69][CH2:70][CH:71]([OH:72])[CH:73]([O:74][CH:75]2[O:76][CH2:77][CH:78]([OH:79])[C:80]2([OH:81])[CH2:82][OH:83])[CH:84]1[OH:85],CC1OC(OC2C(OC(=O)[C@]34CCC(C)(C)CC3C3=CCC5[C@@]6(C)C[C@H](O)[C@H]([O:1]C7OC(CO)C(O)C(O)C7O)C(CO)(CO)C6CC[C@@]5(C)[C@]3(C)C[C@H]4O)OCC(O)C2O)C(O)C(O)C1OC1OCC(O)C(OC2OCC(O)C2(O)CO)C1O
O=C(c1cccnc1-c1ccncc1)N1CCC(O)(Cc2ccccc2)CC1,O=C(O)[C@H]1OC(OC2(Cc3ccccc3)CCN(C(=O)c3cccnc3-c3ccncc3)CC2)[C@H](O)[C@@H](O)[C@@H]1O,O=C(O)[C@H]1OC(OC2(Cc3ccccc3)CCN(C(=O)c3cccnc3-c3ccncc3)CC2)[C@H](O)[C@@H](O)[C@@H]1O>>O=C(c1cccnc1-c1ccncc1)N1CCC(O)(Cc2ccccc2)CC1,O=C(O)[C@H]1OC([O:19][C:18]2([CH2:20][c:21]3[cH:22][cH:23][cH:24][cH:25][cH:26]3)[CH2:17][CH2:16][N:15]([C:2](=[O:1])[c:3]3[cH:4][cH:5][cH:6][n:7][c:8]3-[c:9]3[cH:10][cH:11][n:12][cH:13][cH:14]3)[CH2:28][CH2:27]2)[C@H](O)[C@@H](O)[C@@H]1O>>[O:1]=[C:2]([c:3]1[cH:4][cH:5][cH:6][n:7][c:8]1-[c:9]1[cH:10][cH:11][n:12][cH:13][cH:14]1)[N:15]1[CH2:16][CH2:17][C:18]([OH:19])([CH2:20][c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[CH2:27][CH2:28]1,O=C(c1cccnc1-c1ccncc1)N1CCC(Cc2ccccc2)([OH:1])CC1
O=C(CCC(F)(F)F)N1CCC2(CC1)CC(C(F)(F)F)=NO2,O=C(O)C1OC(OC2(Cc3ccccc3)CCN(C(=O)c3cccnc3-c3ccncc3)CC2)[C@H](O)C(O)[C@@H]1O,O=C(O)C1OC(OC2(Cc3ccccc3)CCN(C(=O)c3cccnc3-c3ccncc3)CC2)[C@H](O)C(O)[C@@H]1O>>O=C(CCC(F)(F)F)N1CCC2(CC1)CC(C(F)(F)F)=NO2,O=C(O)[CH:16]1O[CH:17]([O:22][C:12]2([CH2:15][c:5]3ccccc3)[CH2:11][CH2:10][N:9]([C:2](=[O:1])c3ccc[n:21]c3-c3ccncc3)[CH2:14][CH2:13]2)[C@H:3](O)[CH:4](O)[C@@H]1O>>[O:1]=[C:2]([CH2:3][CH2:4][C:5](F)(F)F)[N:9]1[CH2:10][CH2:11][C:12]2([CH2:13][CH2:14]1)[CH2:15][C:16]([C:17](F)(F)F)=[N:21][O:22]2,O=[C:1](N1CCC2(CC1)[CH2:1][C:1]([C:1](F)(F)F)=[N:1][O:1]2)[CH2:1][CH2:1][C:1](F)(F)F
