substrate,all_predictions,metabolites,top_5
CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(C(=O)O)C1CCC(c2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)S1|CC(C)(O)c1cc(O)ccc1CC[C@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1cc(O)ccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CCC(S)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(O)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@@H](S)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccc(O)cc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(C(=O)O)C1(CC(=O)O)CS[C@H](CCc2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)c2ccccc21|CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@@H](SCC1(C(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@H](SCC1(C(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CCC(SCC1(C(=O)O)CC1)c1cccc(/C=C/c2ccc3cc(O)c(Cl)cc3n2)c1|CC(C)(C(=O)O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CCC(SCC1(CC(=O)O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CCC(SCC1(C(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(O)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1[C@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)S(=O)CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1CC[C@H](c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1)[S+]([O-])CC1(CC(=O)O)CC1|CC(C)(O)c1ccccc1[C@@H](O)C[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,CC(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(C(=O)O)C1CCC(c2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)S1|CC(C)(O)c1cc(O)ccc1CC[C@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(CO)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1|CC(C)(O)c1cc(O)ccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)(C)CC1|Cc1cc2c(s1)Nc1ccc(O)cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1|CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)C(O)C1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1O|Cc1cc2c(s1)Nc1cc(O)ccc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1,Cc1cc2c(s1)Nc1ccc(O)cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1|CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)([O-])CC1|Cc1cc2c(s1)N(C1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1N=C2N1CCN(C)CC1,Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)(C)CC1|Cc1cc2c(s1)Nc1ccc(O)cc1N=C2N1CCN(C)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1|CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1|Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)C(O)C1
CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(Br)c1|CCC1Oc2ccccc2C1C(=O)c1ccc(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(Br)c1|CCC1Oc2ccc(O)cc2C1C(=O)c1cc(Br)c(O)c(Br)c1|CC[C@H]1Oc2ccccc2[C@H]1C(=O)c1cc(Br)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(Br)c1|CCC1Oc2ccccc2C1C(O)c1cc(Br)c(OC2OC(C(=O)O)C(O)C(O)C2O)c(Br)c1|CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(OC)c(Br)c1|O=C(c1cc(Br)c(O)c(Br)c1)C1c2ccccc2OC1CCO|CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(OC2OC(C(=O)O)C(O)C(O)C2O)c(Br)c1|CCC1Oc2ccccc2C1C(O)c1cc(Br)c(O)c(Br)c1|CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(OS(=O)(=O)O)c(Br)c1|CCC1Oc2ccccc2C1C(=O)O|CCC1Oc2cc(O)ccc2C1C(=O)c1cc(Br)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(Br)c1|CCC1Oc2c(O)cccc2C1C(=O)c1cc(Br)c(O)c(Br)c1|CCC1Oc2ccc(O)cc2C1C(=O)c1cc(Br)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(Br)c1|CCC1Oc2cc(O)ccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,Oc1cc(Br)c(O)c(Br)c1|CCC1Oc2ccccc2C1C(=O)c1cc(O)c(O)c(Br)c1|CCC1Oc2cc(O)ccc2C1C(=O)c1cc(Br)c(O)c(Br)c1,CCC1Oc2ccccc2C1C(=O)c1cc(Br)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(Br)c1|CCC1Oc2ccccc2C1C(=O)c1ccc(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(Br)c1|CCC1Oc2ccc(O)cc2C1C(=O)c1cc(Br)c(O)c(Br)c1|CC[C@H]1Oc2ccccc2[C@H]1C(=O)c1cc(Br)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(Br)c1|CCC1Oc2ccccc2C1C(O)c1cc(Br)c(OC2OC(C(=O)O)C(O)C(O)C2O)c(Br)c1
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,COc1cc(Cc2c[nH]c(=N)[nH]c2=O)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)c(OC)c(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O|COc1cc(Cc2c[nH]c(N)nc2=O)cc(OC)c1OC|COc1cc(C(O)c2cnc(N)nc2N)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)c(O)c(OC)c1OC|COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC|COc1cc(Cc2cnc(N)[nH]c2=O)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)cc(O)c1OC|COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCO|COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1O|COc1cc(Cc2cnc(N)nc2O)cc(OC)c1O|COc1cc(Cc2cnc(N)nc2N)c(OC)c(OC)c1O|COc1cc(Cc2cnc(N)nc2O)cc(OC)c1OC|COc1cc(C(=O)O)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)c(OC)c(OC)c1|COc1cc(Cc2cnc(N)nc2N)c(O)c(OC)c1,COc1cc(Cc2c[n+]([O-])c(N)nc2N)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O|COc1cc(Cc2cnc(N)[n+]([O-])c2N)cc(OC)c1OC|COc1cc(C(O)c2cnc(N)nc2N)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)cc(O)c1OC,COc1cc(Cc2c[nH]c(=N)[nH]c2=O)cc(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)c(OC)c(OC)c1OC|COc1cc(Cc2cnc(N)nc2N)cc(OC)c1O|COc1cc(Cc2c[nH]c(N)nc2=O)cc(OC)c1OC|COc1cc(C(O)c2cnc(N)nc2N)cc(OC)c1OC
O=P1(NCCCl)OCCCN1CCCl,O=P1(NCCCl)OCC(O)CN1CCCl|O=P1(NCCCl)NCCCO1|NP1(=O)NCCCO1|O=[P@]1(NCCCl)NCCCO1|O=P1(NCCCl)OCCC(O)N1CCCl|O=[P@]1(NCCCl)OCCC(O)N1CCCl|O=P1(N(CCCl)CCCl)NCCCO1|O=[P@@]1(NCCCl)OCCC(O)N1CCCl|NP1(=O)OCCCN1CCCl|O=P1(N(CCCl)CCCl)OCCCN1CCCl,O=CCCl|NP1(=O)OCCCN1CCCl|O=P1(NCCCl)OCCC(O)N1CCCl|O=P1(NCCCl)NCCCO1,O=P1(NCCCl)OCC(O)CN1CCCl|O=P1(NCCCl)NCCCO1|NP1(=O)NCCCO1|O=[P@]1(NCCCl)NCCCO1|O=P1(NCCCl)OCCC(O)N1CCCl
COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(N)=O,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3O)c2cc1C(=N)N|COc1c(C(N)=O)cc2c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ccnc2c1O|O=C(Nc1ccc(Oc2ccnc3cc(O)c(C(=O)NC4CC4)cc23)cc1Cl)NC1CC1|COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)NC1CC1|COc1cc2nccc(Oc3ccc(N)c(Cl)c3)c2cc1C(N)=O|COc1cc2[nH]ccc(=O)c2cc1C(=O)NC1CC1|COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3O)c2cc1C(N)=O|NC(=O)c1cc2c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ccnc2cc1O|COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)O|COc1cc2c(cc1C(N)=O)C(Oc1ccc(NC(=O)NC3CC3)c(Cl)c1)=CCN2|COc1cc2c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ccnc2cc1C(N)=O|COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4O)c(Cl)c3)c2cc1C(N)=O|COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1O|COc1cc2c(cc1C(N)=O)C(Oc1ccc(NC(=O)NC3CC3)c(Cl)c1)CCN2|COc1cc2c(cc1C(N)=O)C(Oc1ccc(NC(=O)NC3CC3)c(Cl)c1)CCN2O,COc1cc2c(cc1C(N)=O)c(Oc1ccc(NC(=O)NC3CC3)c(Cl)c1)cc[n+]2[O-]|NC(=O)c1cc2c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ccnc2cc1O,COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3O)c2cc1C(=N)N|COc1c(C(N)=O)cc2c(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)ccnc2c1O|O=C(Nc1ccc(Oc2ccnc3cc(O)c(C(=O)NC4CC4)cc23)cc1Cl)NC1CC1|COc1cc2nccc(Oc3ccc(NC(=O)NC4CC4)c(Cl)c3)c2cc1C(=O)NC1CC1|COc1cc2nccc(Oc3ccc(N)c(Cl)c3)c2cc1C(N)=O
CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21,CN1c2ccccc2C(=O)N2CCc3c([nH]c4cc(O)ccc34)C21|C[N+]1([O-])c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21|CN1c2ccccc2C(=O)N2CCc3c([nH]c4c(O)cccc34)C21|CN1c2ccccc2C(=O)N2CC(O)c3c([nH]c4ccccc34)CC21|CN1c2cc(O)ccc2C(=O)N2CCc3c([nH]c4ccccc34)C21|CN1c2ccc(O)cc2C(=O)N2CCc3c([nH]c4ccccc34)C21|O=C1c2ccccc2NC2c3[nH]c4ccccc4c3CCN12|CN1c2ccccc2C(=O)N2CC(O)c3c([nH]c4ccccc34)C21|O=C1c2ccccc2N(CO)C2c3[nH]c4ccccc4c3CCN12|CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccc(O)cc34)C21,CN1c2ccccc2C(=O)N2CCc3c([nH]c4ccc(O)cc34)C21|CN1c2ccccc2C(=O)N2CC(O)c3c([nH]c4ccccc34)C21,CN1c2ccccc2C(=O)N2CCc3c([nH]c4cc(O)ccc34)C21|C[N+]1([O-])c2ccccc2C(=O)N2CCc3c([nH]c4ccccc34)C21|CN1c2ccccc2C(=O)N2CCc3c([nH]c4c(O)cccc34)C21|CN1c2ccccc2C(=O)N2CC(O)c3c([nH]c4ccccc34)CC21|CN1c2cc(O)ccc2C(=O)N2CCc3c([nH]c4ccccc34)C21
Clc1ccccc1CN1CCc2sccc2C1,O=C1c2ccsc2CCN1Cc1ccccc1Cl|O=C(O)c1cc2c(s1)CCN(Cc1ccccc1Cl)C2|O=C(O)C1OC(OC2c3ccsc3CCN2Cc2ccccc2Cl)C(O)C(O)C1O|Oc1csc2c1CN(Cc1ccccc1Cl)CC2|OC1c2ccsc2CCN1Cc1ccccc1Cl|Clc1ccccc1C[n+]1ccc2c(c1)CCNC2|Oc1cc2c(s1)CCN(Cc1ccccc1Cl)C2|OC[C@H]1O[C@@H](Oc2cc3c(s2)CCN(Cc2ccccc2Cl)C3)[C@H](O)[C@@H](O)[C@@H]1O|OCc1cc2c(s1)CCN(Cc1ccccc1Cl)C2|OC1Cc2sccc2CN1Cc1ccccc1Cl|OC[C@H]1O[C@@H](Oc2csc3c2CN(Cc2ccccc2Cl)CC3)[C@H](O)[C@@H](O)[C@@H]1O|O=C([O-])c1cc2c(s1)CCN(Cc1ccccc1Cl)C2|OC1CN(Cc2ccccc2Cl)Cc2ccsc21,O=C1C=C2CN(Cc3ccccc3Cl)CCC2S1|Clc1ccccc1CN1C=C2C=C[S+]=C2CC1|OC1CN(Cc2ccccc2Cl)Cc2ccsc21|O=S1C=CC2=C1CCN(Cc1ccccc1Cl)C2|Clc1ccccc1CN1C=Cc2sccc2C1|Clc1cc2c(s1)CCN(Cc1ccccc1Cl)C2|[O-][N+]1(Cc2ccccc2Cl)CCc2sccc2C1,O=C1c2ccsc2CCN1Cc1ccccc1Cl|O=C(O)c1cc2c(s1)CCN(Cc1ccccc1Cl)C2|O=C(O)C1OC(OC2c3ccsc3CCN2Cc2ccccc2Cl)C(O)C(O)C1O|Oc1csc2c1CN(Cc1ccccc1Cl)CC2|OC1c2ccsc2CCN1Cc1ccccc1Cl
Cn1c(=O)c2c(ncn2C)n(C)c1=O,CC(=O)Nc1c(NC=O)n(C)c(=O)n(C)c1=O|CC(=O)Nc1c(NC=O)[nH]c(=O)n(C)c1=O|CC(=O)Nc1c(C(=O)N(C)C(=O)O)ncn1C|Cn1c(=O)[nH]c(=O)c2c1ncn2CO|Cn1c(=O)[nH]c(=O)c2[nH]cnc21|Cn1cnc2c1c(=O)[nH]c(=O)n2C|Cn1c(=O)c2c(ncn2C)n(C)c1=N|Cn1c(=O)c2c(nc(O)n2C)n(C)c1=O|CNC(=O)c1c(N(C)C(C)=O)ncn1C|Cn1c(=O)[nH]c2ncn(C)c2c1=O,Cn1c(=O)[nH]c2ncn(C)c2c1=O|Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O|Cn1cnc2c1c(=O)[nH]c(=O)n2C|Cn1c(=O)c2[nH]cnc2n(C)c1=O,CC(=O)Nc1c(NC=O)n(C)c(=O)n(C)c1=O|CC(=O)Nc1c(NC=O)[nH]c(=O)n(C)c1=O|CC(=O)Nc1c(C(=O)N(C)C(=O)O)ncn1C|Cn1c(=O)[nH]c(=O)c2c1ncn2CO|Cn1c(=O)[nH]c(=O)c2[nH]cnc21
OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(O)CN1C=CN(C(c2ccccc2)c2ccc(Cl)cc2)CC1|O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1|Oc1ccc([C@@H](O)c2ccc(Cl)cc2)cc1|O=C(O)CN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1|O=C(O)CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1|OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)c(O)c2)CC1|O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1O|O=C(O)COCC[N+]1(OC(c2ccccc2)c2ccc(Cl)cc2)CCNCC1|O=C(c1ccccc1)c1ccc(Cl)cc1|O=C(O)COCC[N+]1(O)CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1|O=C(O)COCC[N+]1(O)CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1|[O-][N+]1(CCOCCO)CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1|O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1|Clc1ccc(C(c2ccccc2)N2CCNCC2)cc1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(O)CN1C=CN(C(c2ccccc2)c2ccc(Cl)cc2)CC1|O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1|Oc1ccc([C@@H](O)c2ccc(Cl)cc2)cc1|O=C(O)CN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1|O=C(O)CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1-3|CN1CCc2cccc3c2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)c1-3|COc1cc2c(c(O)c1O)-c1cccc3c1C(C2)N(C)CC3|CN1CCc2cccc3c2[C@H]1Cc1ccc(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1-3|COc1ccc2c(c1O)-c1cccc3c1C(C2)NCC3|CN1CCc2cccc3c2C1Cc1ccc(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1-3|CN1CCc2cccc3c2C1Cc1ccc(OS(=O)(=O)O)c(O)c1-3|COc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)N(C)CC3|COc1ccc2c(c1O)-c1cccc3c1C(C2)N(C)CC3|CN1CCc2cccc3c2[C@H]1Cc1cc(O)c(O)c(O)c1-3|COc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)NCC3|COc1ccc2c3c1-c1cccc(O)c1C[C@@H]3NCC2|CN1CCc2cccc3c2[C@H]1Cc1ccc(OS(=O)(=O)O)c(O)c1-3|CN1CCc2cccc3c2[C@H]1Cc1ccc(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1-3,CN1CCc2cccc3c2[C@H]1Cc1ccc(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1-3|Oc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)NCC3|CN1CCc2cccc3c2[C@H]1CC1=C3C(=O)C(=O)C=C1|CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1-3|COc1c(O)ccc2c1-c1cccc3c1[C@@H](C2)N(C)CC3|COc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)N(C)CC3,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)c1-3|CN1CCc2cccc3c2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)c1-3|COc1cc2c(c(O)c1O)-c1cccc3c1C(C2)N(C)CC3|CN1CCc2cccc3c2[C@H]1Cc1ccc(OC2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1-3|COc1ccc2c(c1O)-c1cccc3c1C(C2)NCC3
CCN(CC)CCOC(=O)c1ccc(N)cc1,CCN(CC)CCOC(=O)c1ccc(N=C(C)O)cc1|CCNCCOC(=O)c1ccc(N)cc1|CCN(CC)CCOC(=O)c1ccc(NC(C)=O)cc1|O=C(O)c1ccc(O)cc1|O=C(O)c1ccc(NO)cc1|CCN(CC)CCOC(=O)c1ccc(NO)cc1|CCN(CC)CCOC(=O)c1ccc(O)cc1|Nc1ccc(C(=O)O)cc1,CCN(CC)CCO|Nc1ccc(C(=O)O)cc1,CCN(CC)CCOC(=O)c1ccc(N=C(C)O)cc1|CCNCCOC(=O)c1ccc(N)cc1|CCN(CC)CCOC(=O)c1ccc(NC(C)=O)cc1|O=C(O)c1ccc(O)cc1|O=C(O)c1ccc(NO)cc1
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,O=C1CN=C(c2cccc(O)c2)c2cc(Cl)ccc2N1|O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O|Clc1ccc2c(c1)C(c1ccccc1)=NCCN2|O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1O|O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1|Nc1ccc(Cl)cc1C(=O)c1ccccc1|O=C1Nc2ccc(Cl)cc2C(c2cccc(O)c2)=NC1O|Nc1ccc(Cl)cc1C(=NCC(=O)O)c1ccccc1|O=C1CN=C(c2ccccc2)c2cc(Cl)c(O)cc2N1|O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1,O=C(O)[C@H]1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)[C@H](O)[C@@H](O)[C@@H]1O|O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,O=C1CN=C(c2cccc(O)c2)c2cc(Cl)ccc2N1|O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O|Clc1ccc2c(c1)C(c1ccccc1)=NCCN2|O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1O|O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,O=C(O)[C@H]1O[C@@H](OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)[C@H](O)[C@@H](O)[C@@H]1O|O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O|O=C(O)[C@H]1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)[C@H](O)[C@@H](O)[C@@H]1O|N=C(c1ccccc1)c1cc(Cl)ccc1NC(=O)C(=O)O|O=C(O)C1OC(O[C@@H]2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O|OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O|O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1O|O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1OC1OC(C(=O)O)C(O)C(O)C1O|O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O|O=C1Nc2c(O)cc(Cl)cc2C(c2ccccc2)=NC1O|O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O|OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1OC1OC(O)C(O)C(O)C1O|O=C1Nc2ccc(Cl)cc2C(c2cccc(O)c2)=NC1O|O=CNc1ccc(Cl)cc1C(=NCC(=O)O)c1ccccc1,O=C(O)[C@H]1O[C@@H](OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C(O)[C@H]1O[C@@H](OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)[C@H](O)[C@@H](O)[C@@H]1O|O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O|O=C(O)[C@H]1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)[C@H](O)[C@@H](O)[C@@H]1O|N=C(c1ccccc1)c1cc(Cl)ccc1NC(=O)C(=O)O|O=C(O)C1OC(O[C@@H]2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O
